References
Acevedo-Rodríguez P. 2015. Lianas and climbing plants of the Neotropics. https://naturalhistory.si.edu/research/botany/research/lianas-and-climbing-plants-neotropics.
Acevedo-Rodríguez P. 2020. Guide to the Genera of Lianas and Climbing plants of the Neotropics (Fabaceae). https://naturalhistory.si.edu/sites/default/files/media/file/fabaceae.pdf.
"Angyalossy V, Pace MR, Lima AC. 2015. Liana anatomy: a broad perspective on structural evolution of the vascular system In: Schnitzer SA, Bongers F, Burnham RJ, Putz FE, eds. Ecology of Lianas. Wiley, 251–287."
"Caballé G. 1993. Liana structure, function and selection: a comparative study of xylem cylinders of tropical rainforest species in Africa and America. Botanical Journal of the Linnean Society 113: 41–60."
Caballé G. 1998. Le port autoportant des lianes tropicales : une synthèse des stratégies de croissance. Canadian Journal of Botany 76: 1703–1716.
"Carlquist S. 1988. Comparative wood anatomy: systematic, ecological and evolutionary aspects of dicotyledon wood. Berlin, Heidelberg: Springer."
"Qin S, Wei K, Cui Z, et al. 2020. Comparative Genomics of Spatholobus suberectus and Insight Into Flavonoid Biosynthesis. Frontiers in Plant Science 11: 528108."
Radlkofer L. 1874. Sopra i vari tipi delle anomalìe dei tronchi nelle sapindacee. Atti Congr Bot Int tenuto a Firenze nel Mese di Maggio.
Rajput KS. 2003. Structure of Cambium and its Derivatives in the Compressed Stem of Canavalia ensiformis (L.) DC. (Fabaceae). 43: 135–146.
"Rajput KS. 2025. Wood anatomy and ontogeny of interxylary cambium in Canavalia cathartica Thouars, C. gladiata (Jacq.) DC. and Pueraria tuberosa (Willd.) DC. (Fabaceae). TAIWANIA 70: 230–242."
"Rajput KS, Moya R, Gondaliya AD. 2023. Ontogeny of multiple variants in the stems of Phaseolus lunatus L. (Fabaceae). Flora 309: 152407."
"Rajput KS, Rao KS, Patil UG. 2006. Stem anatomy of Dolichos lablab Linn (Fabaceae): Origin of cambium and reverse orientation of vascular bundles. Flora - Morphology, Distribution, Functional Ecology of Plants 201: 65–73."
"Rami M, Gurav RV, Gaikwad S, Rajput KS. 2025. Comparative study on the secondary xylem and phloem formation in three varieties of Mucuna pruriens (L.) DC (Fabaceae). Flora 324: 152682."
"Robert EMR, Schmitz N, Boeren I, et al. 2011. Successive Cambia: A Developmental Oddity or an Adaptive Structure? PLoS ONE 6: e16558."
"Roth I, Ascensio J. 1977. Crecimiento Anomalo Del Eje De Varias Especies De Bauhinia Y Su Relacion Con La Filotaxis. Acta Botánica Venezuélica 12: 23–77."
"Schenck H. 1893. Beiträge zur Biologie der Lianen, insbesondere der in Brasilien einheimischen Arten. II. Beiträge zur Anatomie der Lianen In: Schimper AFW, ed. Botanische Mittheilungen aus den Tropen. Jena, Germany: Gustav Fischer Verlag, 1–271."
"Schweingruber FH, Börner A. 2018. The Plant Stem: A Microscopic Aspect. Cham: Springer International Publishing."
"Solereder H, Boodle LA, Fritsch FE, Scott DH. 1908. Systematic Anatomy of the Dicotyledons: A Handbook for Laboratories of Pure and Applied Botany. Clarendon Press."
"Speck T, Rowe NP. 2003. Modelling primary and secondary growth processes in plants: a summary of the methodology and new data from an early lignophyte (J van Leeuwen and P Aerts, Eds.). Philosophical Transactions of the Royal Society B: Biological Sciences 358: 1473–1485."
"Stepanova AV, Oskolski AA, Van Wyk B-E. 2017. Wood anatomy of Australian mirbelioids and allies (Fabaceae, Papilionoideae). Australian Journal of Botany 65: 556–572."
"Struckmeyer BE, Binning LK, Harvey RG. 1976. Effect of Dinitroanaline Herbicides in a Soil Medium on Snap Bean and Soybean. Weed Science 24: 366–369."
"Usha VS, Jesudass LL. 2015. Structure of Stem and Cambial Variant in Spatholobus parviflorus (DC.) Kuntze. (Fabaceae). Nelumbo 57: 69–74."
"Villagra B, Romaniuc S. 2013. Climbing plants of Santo André: Leaves & Stem Macroanatomy."
"Wang J, Xie X, Peng H. 2012. Developmental anatomy of anomalous structure and investigation of medicinal parts Sophora flavescens. Zhongguo Zhong Yao Za Zhi 37: 1720–1724."
"Yang S-Z, Chen P-H, Chen J-J. 2022. Stem cambial variants of Taiwan lianas. Botanical Studies 63: 27."
"Yang S-Z, Chen P-H, Lin K-C. 2016. Cambial variants of liana species (Fabaceae) in Taiwan. TAIWANIA 61."
"Zhang J, Gao G, Chen J-J, Taylor G, Cui K-M, He X-Q. 2011. Molecular features of secondary vascular tissue regeneration after bark girdling in Populus. New Phytologist 192: 869–884."
"Zich FA, Hyland BPM, Whiffin T, Kerrigan RA. 2020. Australian Tropical Rainforest Plants. https://apps.lucidcentral.org/rainforest/. 19 Dec. 2025."
